step_time,reward,total_stopped,total_wait_time,episode,terminal_observation
5.0,0.0,0,0.0,,
10.0,0.0,0,0.0,,
15.0,-0.05,5,5.0,,
20.0,-0.36,8,41.0,,
25.0,-0.19,5,60.0,,
30.0,-0.10999999999999999,6,71.0,,
35.0,-0.32000000000000006,8,103.0,,
40.0,-0.53,12,156.0,,
45.0,-0.6200000000000001,14,218.0,,
50.0,-0.81,18,299.0,,
55.0,-0.94,20,393.0,,
60.0,-1.0899999999999994,23,502.0,,
65.0,-1.2400000000000002,26,626.0,,
70.0,-0.25,22,651.0,,
75.0,0.41999999999999993,22,609.0,,
80.0,-0.6900000000000004,24,678.0,,
85.0,-1.4099999999999993,31,819.0,,
90.0,-1.6500000000000004,34,984.0,,
95.0,-1.2300000000000004,32,1107.0,,
100.0,-1.1999999999999993,34,1227.0,,
105.0,-0.3600000000000012,32,1263.0,,
110.0,1.1500000000000004,27,1148.0,,
115.0,2.16,18,932.0,,
120.0,1.0600000000000005,12,826.0,,
125.0,1.5999999999999996,13,666.0,,
130.0,0.6000000000000005,14,606.0,,
135.0,0.2599999999999998,16,580.0,,
140.0,-0.39000000000000057,16,619.0,,
145.0,-0.8299999999999992,17,702.0,,
150.0,-0.9000000000000004,18,792.0,,
155.0,-0.9000000000000004,18,882.0,,
160.0,-1.129999999999999,25,995.0,,
165.0,-1.290000000000001,26,1124.0,,
170.0,-1.3900000000000006,28,1263.0,,
175.0,-1.3999999999999986,28,1403.0,,
180.0,0.14999999999999858,25,1388.0,,
185.0,1.5600000000000005,16,1232.0,,
190.0,0.33000000000000007,16,1199.0,,
195.0,-1.0199999999999996,23,1301.0,,
200.0,-1.3800000000000008,28,1439.0,,
205.0,-1.4399999999999995,30,1583.0,,
210.0,-1.4999999999999982,30,1733.0,,
215.0,-1.5,30,1883.0,,
220.0,-1.6000000000000014,32,2043.0,,
225.0,-1.6000000000000014,32,2203.0,,
230.0,-1.8299999999999983,40,2386.0,,
235.0,-2.0,40,2586.0,,
240.0,-2.0500000000000007,42,2791.0,,
245.0,-2.1000000000000014,42,3001.0,,
