step_time,reward,total_stopped,total_wait_time
5e+00,0.0,0,0.0
10.0,0.0,0,0.0
15.0,-0.08,4,8.0
20.0,-0.42,10,50.0
25.0,-0.52,12,102.0
30.0,-0.33000000000000007,10,135.0
35.0,-0.32999999999999985,13,168.0
40.0,-0.14000000000000012,9,182.0
45.0,0.44000000000000017,4,138.0
50.0,0.3599999999999999,6,102.0
55.0,0.33999999999999997,10,68.0
60.0,-0.6999999999999998,16,138.0
65.0,-0.5900000000000001,14,197.0
70.0,-0.26,10,223.0
75.0,-0.33000000000000007,12,256.0
80.0,0.020000000000000018,10,254.0
85.0,-0.08999999999999986,14,263.0
90.0,0.18999999999999995,14,244.0
95.0,0.77,13,167.0
100.0,-0.3700000000000001,13,204.0
105.0,0.32000000000000006,9,172.0
110.0,-0.2899999999999998,12,201.0
115.0,-0.7600000000000002,18,277.0
120.0,-0.6000000000000001,17,337.0
125.0,-0.29000000000000004,15,366.0
130.0,0.2400000000000002,14,342.0
135.0,0.8799999999999999,16,254.0
140.0,0.3500000000000001,20,219.0
145.0,-1.08,22,327.0
150.0,-0.8699999999999997,22,414.0
155.0,-0.8799999999999999,23,502.0
160.0,-0.6300000000000008,27,565.0
165.0,0.16999999999999993,20,548.0
170.0,0.75,13,473.0
175.0,0.2400000000000002,13,449.0
180.0,0.15000000000000036,15,434.0
185.0,-0.8700000000000001,21,521.0
190.0,-0.71,21,592.0
195.0,-0.34999999999999964,19,627.0
200.0,-0.4800000000000004,19,675.0
205.0,0.7000000000000002,17,605.0
210.0,1.83,15,422.0
215.0,0.019999999999999574,19,420.0
220.0,0.3600000000000003,20,384.0
225.0,-0.5899999999999999,18,443.0
230.0,-0.20000000000000018,18,463.0
235.0,-0.07000000000000028,19,470.0
240.0,0.5899999999999999,13,411.0
245.0,1.0200000000000005,19,309.0
250.0,-0.6000000000000001,19,369.0
255.0,-0.43000000000000016,15,412.0
260.0,-0.03000000000000025,15,415.0
265.0,-0.8899999999999997,21,504.0
270.0,-0.11000000000000032,25,515.0
275.0,0.6800000000000006,22,447.0
280.0,-0.6699999999999999,23,514.0
285.0,-0.3000000000000007,19,544.0
290.0,-0.96,19,640.0
295.0,-1.1899999999999995,27,759.0
300.0,-0.28000000000000025,29,787.0
305.0,-0.35000000000000053,37,822.0
310.0,-1.9299999999999997,41,1015.0
315.0,-1.879999999999999,41,1203.0
320.0,-2.17,45,1420.0
325.0,-0.6100000000000012,43,1481.0
330.0,0.6100000000000012,35,1420.0
335.0,0.5899999999999999,31,1361.0
340.0,0.7299999999999986,32,1288.0
345.0,1.6900000000000013,29,1119.0
350.0,0.6399999999999988,20,1055.0
355.0,1.1900000000000013,13,936.0
360.0,1.2799999999999994,10,808.0
365.0,0.23000000000000043,14,785.0
370.0,-0.5999999999999996,25,845.0
375.0,-1.58,35,1003.0
380.0,-2.0600000000000005,44,1209.0
385.0,-0.9900000000000002,46,1308.0
390.0,0.4299999999999997,38,1265.0
395.0,1.7400000000000002,28,1091.0
400.0,-0.129999999999999,20,1104.0
405.0,1.1399999999999988,10,990.0
410.0,0.6899999999999995,17,921.0
415.0,0.9300000000000015,22,828.0
420.0,0.7399999999999993,23,754.0
425.0,-0.03000000000000025,15,757.0
430.0,0.9100000000000001,14,666.0
435.0,-0.6600000000000001,22,732.0
440.0,-0.41999999999999993,22,774.0
445.0,0.2999999999999998,21,744.0
450.0,0.7300000000000004,22,671.0
455.0,0.6900000000000004,12,602.0
460.0,2.3499999999999996,11,367.0
465.0,0.45999999999999996,13,321.0
470.0,-0.020000000000000018,15,323.0
475.0,0.06999999999999984,14,316.0
480.0,-0.7799999999999998,18,394.0
485.0,-0.6599999999999997,21,460.0
490.0,-0.34000000000000075,18,494.0
495.0,-0.07999999999999918,16,502.0
500.0,0.11999999999999922,20,490.0
505.0,0.16000000000000014,22,474.0
510.0,0.71,23,403.0
515.0,-0.7999999999999998,31,483.0
520.0,-0.9699999999999998,37,580.0
525.0,-0.33999999999999986,30,614.0
530.0,0.4399999999999995,22,570.0
535.0,-0.040000000000000036,16,574.0
540.0,0.6400000000000006,10,510.0
545.0,-0.040000000000000036,12,514.0
550.0,-0.7300000000000004,16,587.0
555.0,-0.47999999999999954,22,635.0
560.0,-0.08000000000000007,20,643.0
565.0,0.5099999999999998,19,592.0
570.0,0.4500000000000002,12,547.0
575.0,0.96,15,451.0
580.0,-0.5600000000000005,23,507.0
585.0,-1.33,29,640.0
590.0,-1.7199999999999989,41,812.0
595.0,-1.3000000000000007,43,942.0
600.0,-0.7599999999999998,39,1018.0
605.0,-1.3900000000000006,33,1157.0
610.0,-1.6199999999999992,32,1319.0
615.0,-0.9700000000000006,27,1416.0
620.0,0.21000000000000085,25,1395.0
625.0,0.8300000000000001,22,1312.0
630.0,2.3099999999999987,21,1081.0
635.0,0.33000000000000007,19,1048.0
640.0,0.05000000000000071,23,1043.0
645.0,-0.6699999999999999,26,1110.0
650.0,-1.370000000000001,30,1247.0
655.0,-1.7199999999999989,36,1419.0
660.0,-0.6100000000000012,41,1480.0
665.0,-0.1399999999999988,46,1494.0
670.0,-0.21000000000000085,51,1515.0
675.0,0.5700000000000003,49,1458.0
680.0,-2.01,46,1659.0
685.0,-2.469999999999999,52,1906.0
690.0,-1.370000000000001,52,2043.0
695.0,0.05000000000000071,45,2038.0
700.0,1.4199999999999982,41,1896.0
705.0,-0.6799999999999997,28,1964.0
710.0,-0.23000000000000043,26,1987.0
715.0,0.6700000000000017,27,1920.0
720.0,1.8000000000000007,27,1740.0
725.0,0.7799999999999976,24,1662.0
730.0,0.9400000000000013,27,1568.0
735.0,1.5999999999999996,33,1408.0
740.0,1.2300000000000004,31,1285.0
745.0,0.34999999999999964,21,1250.0
750.0,2.4000000000000004,16,1010.0
755.0,0.9699999999999989,21,913.0
760.0,0.14000000000000057,22,899.0
765.0,1.7300000000000004,22,726.0
770.0,0.16000000000000014,28,710.0
775.0,-0.41999999999999993,22,752.0
780.0,0.23999999999999932,20,728.0
785.0,-0.2599999999999998,22,754.0
790.0,-0.04999999999999982,21,759.0
795.0,0.9900000000000002,16,660.0
800.0,1.1899999999999995,17,541.0
805.0,-0.6099999999999994,22,602.0
810.0,-0.4400000000000004,24,646.0
815.0,-0.17999999999999972,17,664.0
820.0,-0.4900000000000002,24,713.0
825.0,0.5899999999999999,26,654.0
830.0,-1.1799999999999997,34,772.0
835.0,-1.1499999999999995,35,887.0
840.0,-0.5100000000000016,37,938.0
845.0,-0.15999999999999837,28,954.0
850.0,1.0599999999999987,21,848.0
855.0,0.17999999999999972,15,830.0
860.0,0.40000000000000036,19,790.0
865.0,-0.7300000000000004,23,863.0
870.0,-1.1899999999999995,26,982.0
875.0,-0.6600000000000001,27,1048.0
880.0,-0.1899999999999995,31,1067.0
885.0,-0.16000000000000014,29,1083.0
890.0,0.2699999999999996,25,1056.0
895.0,1.370000000000001,20,919.0
900.0,-0.15000000000000036,21,934.0
905.0,0.2599999999999998,21,908.0
910.0,0.25,19,883.0
915.0,1.17,23,766.0
920.0,-0.28000000000000025,25,794.0
925.0,0.10000000000000053,26,784.0
930.0,0.28000000000000025,20,756.0
935.0,1.21,20,635.0
940.0,0.3899999999999997,15,596.0
945.0,-0.09999999999999964,15,606.0
950.0,-0.27000000000000046,19,633.0
955.0,-0.5800000000000001,25,691.0
960.0,-0.8999999999999995,27,781.0
965.0,-0.5300000000000002,24,834.0
970.0,0.5999999999999996,24,774.0
975.0,-0.9299999999999997,28,867.0
980.0,-0.9000000000000004,26,957.0
985.0,-0.40000000000000036,25,997.0
990.0,0.6100000000000012,20,936.0
995.0,2.2799999999999994,21,708.0
1000.0,-0.3200000000000003,15,740.0
1005.0,0.28000000000000025,19,712.0
1010.0,0.27000000000000046,14,685.0
1015.0,0.8499999999999996,18,600.0
1020.0,0.3600000000000003,13,564.0
