step_time,reward,total_stopped,total_wait_time,episode,terminal_observation
5.0,0.0,0,0.0,,
10.0,0.0,0,0.0,,
15.0,-0.12,6,12.0,,
20.0,-0.34,7,46.0,,
25.0,-0.15999999999999998,7,62.0,,
30.0,-0.4600000000000001,11,108.0,,
35.0,-0.07999999999999985,6,116.0,,
40.0,0.19999999999999996,6,96.0,,
45.0,0.32999999999999996,3,63.0,,
50.0,0.16999999999999998,8,46.0,,
55.0,-0.24999999999999994,11,71.0,,
60.0,0.06999999999999995,5,64.0,,
65.0,-0.04999999999999993,6,69.0,,
70.0,-0.2400000000000001,11,93.0,,
75.0,-0.2499999999999999,9,118.0,,
80.0,0.10999999999999988,5,107.0,,
85.0,0.040000000000000036,5,103.0,,
90.0,0.10999999999999999,9,92.0,,
95.0,0.050000000000000044,12,87.0,,
100.0,-0.45000000000000007,16,132.0,,
105.0,-0.8299999999999998,17,215.0,,
110.0,-0.48,15,263.0,,
115.0,0.31000000000000005,8,232.0,,
120.0,0.2999999999999998,6,202.0,,
125.0,0.07000000000000006,13,195.0,,
130.0,-0.30999999999999983,14,226.0,,
135.0,0.029999999999999805,10,223.0,,
140.0,0.5,5,173.0,,
145.0,0.5900000000000001,10,114.0,,
150.0,-0.2200000000000002,12,136.0,,
155.0,0.030000000000000027,5,133.0,,
160.0,-0.04999999999999982,12,138.0,,
165.0,-0.52,12,190.0,,
170.0,-0.8000000000000003,20,270.0,,
175.0,-0.8099999999999996,19,351.0,,
180.0,-0.4600000000000004,13,397.0,,
185.0,0.2200000000000002,11,375.0,,
190.0,0.5,12,325.0,,
195.0,0.69,16,256.0,,
200.0,0.4900000000000002,20,207.0,,
205.0,-0.41000000000000014,16,248.0,,
210.0,0.04999999999999982,12,243.0,,
215.0,0.31000000000000005,8,212.0,,
220.0,0.33000000000000007,5,179.0,,
225.0,0.41000000000000014,9,138.0,,
230.0,-0.17000000000000015,14,155.0,,
235.0,-0.1399999999999999,12,169.0,,
240.0,0.34999999999999987,7,134.0,,
245.0,-0.21999999999999997,14,156.0,,
250.0,-0.56,15,212.0,,
