step_time,reward,total_stopped,total_wait_time,episode,terminal_observation
5.0,0.0,0,0.0,,
10.0,0.0,0,0.0,,
15.0,-0.06,3,6.0,,
20.0,-0.28,6,34.0,,
25.0,-0.10999999999999999,5,45.0,,
30.0,-0.45,10,90.0,,
35.0,-0.06999999999999995,6,97.0,,
40.0,0.08999999999999997,6,88.0,,
45.0,0.35,2,53.0,,
50.0,0.12000000000000005,8,41.0,,
55.0,-0.25000000000000006,8,66.0,,
60.0,0.21000000000000002,4,45.0,,
65.0,0.08000000000000002,4,37.0,,
70.0,-0.08000000000000002,8,45.0,,
75.0,-0.21000000000000002,7,66.0,,
80.0,0.030000000000000027,4,63.0,,
85.0,-0.050000000000000044,5,68.0,,
90.0,0.07000000000000006,8,61.0,,
95.0,-0.10999999999999999,11,72.0,,
100.0,-0.3700000000000001,14,109.0,,
105.0,-0.73,16,182.0,,
110.0,-0.42999999999999994,14,225.0,,
115.0,0.16999999999999993,8,208.0,,
120.0,0.54,6,154.0,,
125.0,0.020000000000000018,14,152.0,,
130.0,-0.3899999999999999,12,191.0,,
135.0,0.0,8,191.0,,
140.0,0.3999999999999999,5,151.0,,
145.0,0.65,8,86.0,,
150.0,-0.2500000000000001,12,111.0,,
155.0,0.19000000000000006,4,92.0,,
160.0,-0.06999999999999995,12,99.0,,
165.0,-0.48,12,147.0,,
170.0,-0.8,20,227.0,,
175.0,-0.7200000000000002,16,299.0,,
180.0,-0.36999999999999966,12,336.0,,
185.0,0.3999999999999999,10,296.0,,
190.0,0.7999999999999998,11,216.0,,
195.0,-0.52,16,268.0,,
200.0,-0.3899999999999997,14,307.0,,
205.0,0.4099999999999997,12,266.0,,
210.0,0.4900000000000002,16,217.0,,
215.0,-0.5500000000000003,14,272.0,,
220.0,-0.31999999999999984,12,304.0,,
225.0,0.5699999999999998,8,247.0,,
230.0,0.8900000000000001,11,158.0,,
235.0,-0.040000000000000036,14,162.0,,
240.0,-0.3599999999999999,12,198.0,,
245.0,0.3899999999999999,8,159.0,,
250.0,-0.11999999999999988,14,171.0,,
255.0,-0.5499999999999998,14,226.0,,
