step_time,reward,total_stopped,total_wait_time,terminal_observation
5.0,0.0,0,0.0,
10.0,0.0,0,0.0,
15.0,-0.05,3,5.0,
20.0,-0.33,8,38.0,
25.0,-0.21999999999999997,10,60.0,
30.0,-0.58,12,118.0,
35.0,-0.21999999999999997,8,140.0,
40.0,0.039999999999999813,8,136.0,
45.0,0.15000000000000013,8,121.0,
50.0,-0.020000000000000018,13,123.0,
55.0,-0.3800000000000001,11,161.0,
60.0,0.050000000000000044,8,156.0,
65.0,0.32000000000000006,6,124.0,
70.0,0.52,8,72.0,
75.0,-0.09999999999999998,5,82.0,
80.0,0.039999999999999925,4,78.0,
85.0,0.4,4,38.0,
90.0,-0.54,14,92.0,
95.0,-0.4,10,132.0,
100.0,-0.050000000000000044,8,137.0,
105.0,0.3800000000000001,2,99.0,
110.0,0.19999999999999996,8,79.0,
115.0,-0.26,8,105.0,
120.0,0.0,4,105.0,
125.0,0.06000000000000005,5,99.0,
130.0,-0.5,14,149.0,
135.0,-0.45999999999999996,10,195.0,
140.0,-0.13000000000000012,8,208.0,
145.0,0.19000000000000017,7,189.0,
150.0,-0.17999999999999994,14,207.0,
155.0,-0.38000000000000034,10,245.0,
160.0,-0.21999999999999975,12,267.0,
165.0,0.06000000000000005,10,261.0,
170.0,-0.07000000000000028,14,268.0,
175.0,0.9100000000000001,14,177.0,
180.0,-0.48,18,225.0,
185.0,-0.41000000000000014,15,266.0,
190.0,0.0900000000000003,8,257.0,
195.0,0.2799999999999998,8,229.0,
200.0,0.1499999999999999,12,214.0,
205.0,-0.21999999999999975,15,236.0,
210.0,0.19999999999999973,11,216.0,
215.0,0.7000000000000002,3,146.0,
220.0,0.29000000000000004,9,117.0,
225.0,-0.17000000000000015,11,134.0,
230.0,0.14000000000000012,9,120.0,
235.0,-0.33000000000000007,11,153.0,
240.0,-0.72,19,225.0,
245.0,-0.5699999999999998,17,282.0,
250.0,-0.11000000000000032,13,293.0,
255.0,0.3600000000000003,5,257.0,
260.0,0.13999999999999968,14,243.0,
265.0,-0.2999999999999998,16,273.0,
