step_time,reward,total_stopped,total_wait_time
5e+00,0.0,0,0.0
10.0,0.0,0,0.0
15.0,-0.05,5,5.0
20.0,-0.22000000000000003,4,27.0
25.0,-0.16999999999999998,5,44.0
30.0,-0.04999999999999999,6,49.0
35.0,-0.30000000000000004,9,79.0
40.0,-0.1499999999999999,6,94.0
45.0,0.10999999999999999,4,83.0
50.0,0.57,5,26.0
55.0,-0.49,12,75.0
60.0,-0.48,10,123.0
65.0,-0.28,10,151.0
70.0,-0.51,12,202.0
75.0,-0.81,19,283.0
80.0,-0.1499999999999999,15,298.0
85.0,0.20000000000000018,16,278.0
90.0,-0.4700000000000002,19,325.0
95.0,0.1299999999999999,13,312.0
100.0,0.48,11,264.0
105.0,0.56,14,208.0
110.0,-0.14000000000000012,15,222.0
115.0,-0.3299999999999996,17,255.0
120.0,-0.9100000000000001,19,346.0
125.0,-1.0700000000000003,24,453.0
130.0,-0.4299999999999997,21,496.0
135.0,0.41999999999999993,16,454.0
140.0,0.0,8,454.0
145.0,-0.1900000000000004,12,473.0
150.0,-0.8399999999999999,19,557.0
155.0,-0.2699999999999996,20,584.0
160.0,0.4299999999999997,23,541.0
165.0,0.8799999999999999,17,453.0
170.0,-0.6699999999999999,18,520.0
175.0,-0.2699999999999996,20,547.0
180.0,-0.1900000000000004,24,566.0
185.0,-0.7699999999999996,28,643.0
190.0,-1.12,33,755.0
195.0,-1.830000000000001,41,938.0
200.0,-2.0999999999999996,43,1148.0
205.0,-0.7799999999999994,39,1226.0
210.0,0.6500000000000004,31,1161.0
215.0,-0.7200000000000006,21,1233.0
220.0,-0.33999999999999986,17,1267.0
225.0,0.5899999999999999,12,1208.0
230.0,2.09,16,999.0
235.0,0.5999999999999996,10,939.0
240.0,-0.07000000000000028,12,946.0
245.0,0.40000000000000036,13,906.0
250.0,1.3900000000000006,11,767.0
255.0,0.8499999999999996,11,682.0
260.0,-0.6699999999999999,17,749.0
265.0,0.14000000000000057,17,735.0
270.0,0.9099999999999993,17,644.0
275.0,1.1900000000000004,16,525.0
280.0,0.6200000000000001,12,463.0
285.0,0.94,12,369.0
290.0,-0.06000000000000005,19,375.0
295.0,-0.20999999999999996,21,396.0
300.0,-0.4800000000000004,28,444.0
305.0,-1.6899999999999995,39,613.0
310.0,-1.96,41,809.0
315.0,-2.09,43,1018.0
320.0,-0.6600000000000001,37,1084.0
325.0,0.5399999999999991,29,1030.0
330.0,1.0200000000000014,21,928.0
335.0,-0.870000000000001,16,1015.0
340.0,-0.7999999999999989,18,1095.0
345.0,-1.0,22,1195.0
350.0,-1.3000000000000007,32,1325.0
355.0,-0.5399999999999991,31,1379.0
360.0,0.5999999999999996,30,1319.0
365.0,1.459999999999999,26,1173.0
370.0,0.4400000000000013,13,1129.0
375.0,2.119999999999999,12,917.0
380.0,0.40000000000000036,20,877.0
385.0,-1.1400000000000006,30,991.0
390.0,-1.7400000000000002,38,1165.0
395.0,-0.5800000000000001,38,1223.0
400.0,0.8800000000000008,33,1135.0
405.0,2.49,25,886.0
410.0,0.7899999999999991,20,807.0
415.0,0.29000000000000004,12,778.0
420.0,0.4300000000000006,15,735.0
425.0,-0.8499999999999996,25,820.0
430.0,-1.5500000000000007,33,975.0
435.0,-0.5999999999999996,34,1035.0
440.0,-0.019999999999999574,40,1037.0
445.0,-1.9400000000000013,45,1231.0
450.0,-1.0299999999999994,42,1334.0
455.0,0.5899999999999999,32,1275.0
460.0,-1.5099999999999998,29,1426.0
465.0,-1.33,25,1559.0
470.0,-1.3300000000000018,29,1692.0
475.0,-0.389999999999997,30,1731.0
480.0,0.6699999999999982,30,1664.0
485.0,-0.120000000000001,39,1676.0
490.0,1.7700000000000014,35,1499.0
495.0,1.75,29,1324.0
500.0,0.5199999999999996,20,1272.0
505.0,-0.9799999999999986,22,1370.0
510.0,0.1399999999999988,22,1356.0
515.0,1.290000000000001,20,1227.0
520.0,1.8899999999999988,25,1038.0
525.0,0.7000000000000011,25,968.0
530.0,0.6999999999999993,20,898.0
535.0,1.1900000000000004,16,779.0
540.0,0.11000000000000032,21,768.0
545.0,-0.15000000000000036,24,783.0
550.0,0.13999999999999968,19,769.0
555.0,0.4900000000000002,22,720.0
560.0,-0.22999999999999954,22,743.0
565.0,-0.5500000000000007,25,798.0
570.0,0.54,21,744.0
575.0,1.8600000000000003,18,558.0
580.0,-0.15000000000000036,21,573.0
585.0,-0.46999999999999975,21,620.0
590.0,0.45999999999999996,22,574.0
595.0,-1.2999999999999998,28,704.0
600.0,-1.1100000000000003,32,815.0
605.0,-0.8100000000000005,27,896.0
610.0,0.08000000000000007,22,888.0
615.0,1.040000000000001,16,784.0
620.0,-0.17999999999999972,18,802.0
625.0,-0.40000000000000036,25,842.0
630.0,-0.05000000000000071,20,847.0
635.0,-0.019999999999999574,21,849.0
640.0,0.7400000000000002,23,775.0
645.0,2.04,27,571.0
650.0,-0.4800000000000004,29,619.0
655.0,-1.42,39,761.0
660.0,-1.04,40,865.0
665.0,-1.3399999999999999,43,999.0
670.0,-1.0099999999999998,39,1100.0
675.0,0.1999999999999993,31,1080.0
680.0,-0.4399999999999995,21,1124.0
685.0,-1.0099999999999998,20,1225.0
690.0,-0.3800000000000008,17,1263.0
695.0,-0.379999999999999,23,1301.0
700.0,-0.02999999999999936,27,1304.0
705.0,0.9799999999999986,26,1206.0
710.0,1.8800000000000008,22,1018.0
715.0,-0.9900000000000002,18,1117.0
720.0,-0.8100000000000005,16,1198.0
725.0,-0.21999999999999886,19,1220.0
730.0,-0.08000000000000007,26,1228.0
735.0,-1.5200000000000014,35,1380.0
740.0,-2.09,45,1589.0
745.0,-1.8999999999999986,48,1779.0
750.0,-2.1700000000000017,48,1996.0
755.0,-2.3999999999999986,48,2236.0
760.0,-2.4800000000000004,50,2484.0
765.0,-0.39000000000000057,44,2523.0
770.0,3.539999999999999,36,2169.0
775.0,-1.7399999999999984,34,2343.0
780.0,-1.6400000000000006,31,2507.0
785.0,-1.6600000000000001,34,2673.0
790.0,-0.05999999999999872,37,2679.0
795.0,1.0700000000000003,36,2572.0
800.0,0.9100000000000001,40,2481.0
805.0,-1.3800000000000026,39,2619.0
810.0,-1.5799999999999983,48,2777.0
815.0,-1.5899999999999999,43,2936.0
820.0,-1.3100000000000023,40,3067.0
825.0,0.8000000000000007,36,2987.0
830.0,3.7900000000000027,30,2608.0
835.0,-0.7100000000000009,22,2679.0
840.0,-0.990000000000002,19,2778.0
845.0,1.7600000000000016,22,2602.0
850.0,4.27,18,2175.0
855.0,-0.8500000000000014,20,2260.0
860.0,-1.0399999999999991,22,2364.0
865.0,-0.28999999999999915,24,2393.0
870.0,0.509999999999998,24,2342.0
875.0,1.0300000000000011,28,2239.0
880.0,3.080000000000002,38,1931.0
885.0,4.409999999999998,31,1490.0
890.0,-0.3200000000000003,21,1522.0
895.0,0.20000000000000107,19,1502.0
900.0,1.129999999999999,19,1389.0
905.0,4.59,19,930.0
910.0,0.3100000000000005,11,899.0
915.0,0.9399999999999995,14,805.0
920.0,0.9000000000000004,16,715.0
925.0,1.7800000000000002,18,537.0
930.0,0.33000000000000007,18,504.0
935.0,-0.16000000000000014,18,520.0
940.0,0.40000000000000036,12,480.0
945.0,0.3199999999999994,12,448.0
950.0,-0.34999999999999964,20,483.0
955.0,-0.75,18,558.0
960.0,-0.6699999999999999,18,625.0
965.0,0.5800000000000001,16,567.0
970.0,1.2400000000000002,17,443.0
975.0,-0.47000000000000064,26,490.0
980.0,-1.0199999999999996,27,592.0
985.0,-0.8899999999999997,26,681.0
990.0,-0.9700000000000006,23,778.0
995.0,-1.29,25,907.0
1000.0,-1.379999999999999,31,1045.0
1005.0,-1.67,37,1212.0
1010.0,-1.4400000000000013,39,1356.0
1015.0,-0.7799999999999994,35,1434.0
1020.0,-1.2599999999999998,36,1560.0
