step_time,reward,total_stopped,total_wait_time,terminal_observation
5.0,0.0,0,0.0,
10.0,0.0,0,0.0,
15.0,-0.08,5,8.0,
20.0,-0.35,8,43.0,
25.0,-0.24000000000000005,9,67.0,
30.0,-0.4899999999999999,10,116.0,
35.0,-0.5700000000000001,13,173.0,
40.0,-0.15999999999999992,12,189.0,
45.0,-0.72,16,261.0,
50.0,-0.03000000000000025,12,264.0,
55.0,1.04,10,160.0,
60.0,-0.3599999999999999,8,196.0,
65.0,-0.6499999999999999,16,261.0,
70.0,-0.5700000000000003,18,318.0,
75.0,-0.9700000000000002,24,415.0,
80.0,-0.33000000000000007,18,448.0,
85.0,0.5800000000000005,12,390.0,
90.0,0.6400000000000001,12,326.0,
95.0,0.23999999999999977,12,302.0,
100.0,-0.33999999999999986,12,336.0,
105.0,-0.69,16,405.0,
110.0,-0.5300000000000002,20,458.0,
115.0,-1.25,28,583.0,
120.0,-0.71,25,654.0,
125.0,-0.2400000000000002,20,678.0,
130.0,-0.2599999999999998,16,704.0,
135.0,-0.5499999999999998,19,759.0,
140.0,-1.0999999999999996,24,869.0,
145.0,-0.6799999999999997,27,937.0,
150.0,-0.7900000000000009,30,1016.0,
155.0,-1.5399999999999991,34,1170.0,
160.0,-1.92,40,1362.0,
165.0,0.27999999999999936,38,1334.0,
170.0,3.7799999999999994,28,956.0,
175.0,0.20000000000000107,34,936.0,
180.0,-0.5300000000000011,33,989.0,
185.0,0.5400000000000009,28,935.0,
190.0,1.3499999999999996,20,800.0,
195.0,-0.2699999999999996,15,827.0,
200.0,0.049999999999998934,16,822.0,
205.0,-0.9399999999999995,22,916.0,
210.0,-1.3399999999999999,28,1050.0,
215.0,-1.5600000000000005,34,1206.0,
220.0,-0.7299999999999986,35,1279.0,
225.0,0.28999999999999915,37,1250.0,
230.0,-0.3699999999999992,34,1287.0,
235.0,1.1399999999999988,31,1173.0,
240.0,-1.1600000000000001,23,1289.0,
245.0,-1.2299999999999986,25,1412.0,
250.0,-1.1900000000000013,25,1531.0,
255.0,0.16000000000000014,29,1515.0,
