step_time,reward,total_stopped,total_wait_time
5e+00,0.0,0,0.0
10.0,0.0,0,0.0
15.0,-0.05,3,5.0
20.0,-0.42,10,47.0
25.0,-0.31000000000000005,11,78.0
30.0,-0.6699999999999999,14,145.0
35.0,-0.31000000000000005,11,176.0
40.0,0.31000000000000005,8,145.0
45.0,-0.42000000000000015,10,187.0
50.0,-0.77,20,264.0
55.0,-0.48999999999999977,20,313.0
60.0,-0.5800000000000001,20,371.0
65.0,-1.08,24,479.0
70.0,-1.2000000000000002,24,599.0
75.0,-0.6200000000000001,24,661.0
80.0,0.25,14,636.0
85.0,1.4400000000000004,6,492.0
90.0,1.56,12,336.0
95.0,0.5800000000000001,16,278.0
100.0,0.27,14,251.0
105.0,0.05999999999999961,8,245.0
110.0,-0.48,16,293.0
115.0,-0.06000000000000005,16,299.0
120.0,0.010000000000000231,20,298.0
125.0,-0.6099999999999999,31,359.0
130.0,-1.6000000000000005,32,519.0
135.0,-1.3099999999999996,32,650.0
140.0,-1.42,34,792.0
145.0,-1.2599999999999998,32,918.0
150.0,-1.2800000000000011,34,1046.0
155.0,-0.5399999999999991,32,1100.0
160.0,1.6500000000000004,30,935.0
165.0,0.41000000000000014,24,894.0
170.0,1.5899999999999999,17,735.0
175.0,-0.29000000000000004,10,764.0
180.0,-0.3799999999999999,16,802.0
185.0,-0.2400000000000002,18,826.0
190.0,-0.22000000000000064,22,848.0
195.0,0.019999999999999574,24,846.0
200.0,0.9400000000000013,29,752.0
205.0,-1.0500000000000007,24,857.0
210.0,-1.0700000000000003,22,964.0
215.0,0.11000000000000121,20,953.0
220.0,-1.200000000000001,27,1073.0
225.0,-0.129999999999999,32,1086.0
230.0,1.129999999999999,27,973.0
235.0,1.7400000000000002,28,799.0
240.0,0.8600000000000003,20,713.0
245.0,0.16999999999999993,12,696.0
250.0,0.5300000000000002,16,643.0
255.0,-0.1800000000000006,18,661.0
260.0,0.5200000000000005,16,609.0
265.0,0.009999999999999787,16,608.0
270.0,0.4299999999999997,18,565.0
275.0,-0.04999999999999982,19,570.0
280.0,1.2199999999999998,20,448.0
285.0,-0.03999999999999915,18,452.0
290.0,0.2599999999999998,12,426.0
295.0,0.16000000000000014,16,410.0
300.0,-0.2600000000000007,17,436.0
305.0,-0.3700000000000001,19,473.0
310.0,-0.13999999999999968,14,487.0
315.0,0.35000000000000053,18,452.0
320.0,-0.3600000000000003,18,488.0
325.0,0.14999999999999947,19,473.0
330.0,-0.3099999999999996,16,504.0
335.0,1.58,10,346.0
340.0,-0.020000000000000018,18,348.0
345.0,-1.1199999999999997,26,460.0
350.0,-1.0,28,560.0
355.0,-0.45999999999999996,24,606.0
360.0,-0.47000000000000064,24,653.0
365.0,0.1299999999999999,19,640.0
370.0,0.96,17,544.0
375.0,-0.8299999999999992,25,627.0
380.0,-0.6500000000000004,25,692.0
385.0,0.09999999999999964,20,682.0
390.0,1.2200000000000006,17,560.0
395.0,0.13999999999999968,23,546.0
400.0,-1.4500000000000002,34,691.0
405.0,-1.1899999999999995,36,810.0
410.0,-0.6100000000000012,37,871.0
415.0,-0.3299999999999983,33,904.0
420.0,-0.09000000000000163,21,913.0
425.0,0.5,16,863.0
430.0,-0.3099999999999987,17,894.0
435.0,-0.030000000000001137,21,897.0
440.0,0.9100000000000001,17,806.0
445.0,1.7700000000000005,19,629.0
450.0,-0.41999999999999993,25,671.0
455.0,-0.3899999999999997,31,710.0
460.0,-0.7800000000000002,34,788.0
465.0,-0.04999999999999982,34,793.0
470.0,-0.16999999999999993,31,810.0
475.0,0.019999999999999574,22,808.0
480.0,0.0600000000000005,12,802.0
485.0,-0.08999999999999986,21,811.0
490.0,0.3099999999999996,23,780.0
495.0,1.0,26,680.0
500.0,-0.7300000000000004,31,753.0
505.0,-0.3199999999999994,30,785.0
510.0,-0.15000000000000036,23,800.0
515.0,-0.27999999999999936,19,828.0
520.0,0.379999999999999,22,790.0
525.0,-1.4000000000000004,32,930.0
530.0,-1.58,37,1088.0
535.0,-1.9299999999999997,44,1281.0
540.0,-2.41,50,1522.0
545.0,-2.4999999999999982,50,1772.0
550.0,-2.5,50,2022.0
555.0,-2.5600000000000023,52,2278.0
560.0,-2.599999999999998,52,2538.0
565.0,-2.6700000000000017,54,2805.0
570.0,-0.8499999999999979,48,2890.0
575.0,1.1899999999999977,40,2771.0
580.0,-0.9499999999999993,32,2866.0
585.0,-1.620000000000001,33,3028.0
590.0,-1.6999999999999993,35,3198.0
595.0,0.129999999999999,39,3185.0
600.0,2.6700000000000017,37,2918.0
605.0,0.33999999999999986,34,2884.0
610.0,2.25,35,2659.0
615.0,0.030000000000001137,30,2656.0
620.0,1.4899999999999984,19,2507.0
625.0,1.5800000000000018,17,2349.0
630.0,2.59,26,2090.0
635.0,4.119999999999997,25,1678.0
640.0,-1.3200000000000003,26,1810.0
645.0,-1.3699999999999974,29,1947.0
650.0,0.28999999999999915,32,1918.0
655.0,2.1799999999999997,28,1700.0
660.0,3.4299999999999997,27,1357.0
665.0,0.21000000000000085,29,1336.0
670.0,1.2699999999999996,26,1209.0
675.0,0.3699999999999992,24,1172.0
680.0,-0.08000000000000007,26,1180.0
685.0,-0.21999999999999886,27,1202.0
690.0,0.4599999999999991,24,1156.0
695.0,0.030000000000001137,29,1153.0
700.0,0.4399999999999995,36,1109.0
705.0,2.539999999999999,36,855.0
710.0,-0.33999999999999986,40,889.0
715.0,-0.14999999999999858,38,904.0
720.0,-0.5800000000000001,26,962.0
725.0,0.049999999999998934,21,957.0
730.0,-0.23000000000000043,20,980.0
735.0,-0.10999999999999943,27,991.0
740.0,-0.6999999999999993,34,1061.0
745.0,-0.08000000000000007,35,1069.0
750.0,0.5899999999999999,30,1010.0
755.0,0.09999999999999964,22,1000.0
760.0,0.5199999999999996,13,948.0
765.0,0.22000000000000064,16,926.0
770.0,-0.7300000000000004,22,999.0
775.0,0.9399999999999995,26,905.0
780.0,-0.8199999999999985,35,987.0
785.0,-0.7600000000000016,38,1063.0
790.0,0.7600000000000016,33,987.0
795.0,0.8999999999999986,26,897.0
800.0,0.8100000000000005,13,816.0
805.0,1.7300000000000004,12,643.0
810.0,0.17999999999999972,19,625.0
815.0,0.6799999999999997,17,557.0
820.0,-0.14999999999999947,14,572.0
825.0,0.009999999999999787,20,571.0
830.0,-0.17999999999999972,18,589.0
835.0,0.4899999999999993,19,540.0
840.0,0.28000000000000025,16,512.0
845.0,0.4299999999999997,14,469.0
850.0,0.6400000000000006,15,405.0
855.0,-0.3600000000000003,20,441.0
860.0,-0.6600000000000001,25,507.0
865.0,-0.5599999999999996,27,563.0
870.0,-0.009999999999999787,25,564.0
875.0,0.15999999999999925,22,548.0
880.0,-0.08999999999999986,19,557.0
885.0,-0.0699999999999994,16,564.0
890.0,1.13,13,451.0
895.0,-0.7300000000000004,19,524.0
900.0,-0.6399999999999997,20,588.0
905.0,-0.25,16,613.0
910.0,0.5999999999999996,12,553.0
915.0,0.71,20,482.0
920.0,-0.25,20,507.0
925.0,-0.17999999999999972,23,525.0
930.0,-0.8799999999999999,23,613.0
935.0,-1.2199999999999998,28,735.0
940.0,-1.0999999999999996,25,845.0
945.0,-0.7100000000000009,22,916.0
950.0,0.7400000000000002,19,842.0
955.0,1.8600000000000003,18,656.0
960.0,0.5699999999999994,17,599.0
965.0,-0.14999999999999947,20,614.0
970.0,-0.4300000000000006,21,657.0
975.0,0.14000000000000057,18,643.0
980.0,0.8499999999999996,17,558.0
985.0,-0.6600000000000001,20,624.0
990.0,-0.6099999999999994,25,685.0
995.0,-0.33000000000000007,19,718.0
1000.0,-0.22000000000000064,20,740.0
1005.0,0.09000000000000075,26,731.0
1010.0,-1.5100000000000007,35,882.0
1015.0,-1.2400000000000002,36,1006.0
1020.0,-0.7999999999999989,36,1086.0
1025.0,0.5,35,1036.0
