step_time,reward,total_stopped,total_wait_time,episode,terminal_observation
5.0,0.0,0,0.0,,
10.0,0.0,0,0.0,,
15.0,-0.05,3,5.0,,
20.0,-0.35000000000000003,8,40.0,,
25.0,-0.14,6,54.0,,
30.0,-0.30999999999999994,10,85.0,,
35.0,-0.09999999999999998,8,95.0,,
40.0,-0.33000000000000007,10,128.0,,
45.0,-0.6199999999999999,14,190.0,,
50.0,0.029999999999999805,10,187.0,,
55.0,0.5,7,137.0,,
60.0,-0.1399999999999999,6,151.0,,
65.0,-0.3899999999999999,14,190.0,,
70.0,-0.18000000000000016,12,208.0,,
75.0,0.32000000000000006,10,176.0,,
80.0,0.3500000000000001,6,141.0,,
85.0,-0.3400000000000001,10,175.0,,
90.0,-0.77,19,252.0,,
95.0,-0.98,22,350.0,,
100.0,-1.1799999999999997,26,468.0,,
105.0,-0.7600000000000007,22,544.0,,
110.0,-0.10999999999999943,16,555.0,,
115.0,0.2699999999999996,12,528.0,,
120.0,-0.019999999999999574,12,530.0,,
125.0,-0.4300000000000006,17,573.0,,
130.0,-0.8799999999999999,18,661.0,,
135.0,-0.9899999999999993,20,760.0,,
140.0,-1.0,20,860.0,,
145.0,-1.0700000000000003,22,967.0,,
150.0,-1.0999999999999996,22,1077.0,,
155.0,1.0,18,977.0,,
160.0,3.38,15,639.0,,
165.0,2.2199999999999998,14,417.0,,
170.0,-0.5,13,467.0,,
175.0,-0.6299999999999999,18,530.0,,
180.0,-1.0200000000000005,22,632.0,,
185.0,-1.0999999999999996,22,742.0,,
190.0,0.13999999999999968,16,728.0,,
195.0,0.8100000000000005,16,647.0,,
200.0,0.2599999999999998,18,621.0,,
205.0,-0.9199999999999999,20,713.0,,
210.0,-0.5800000000000001,16,771.0,,
215.0,-0.3700000000000001,14,808.0,,
220.0,1.2400000000000002,13,684.0,,
225.0,3.21,11,363.0,,
230.0,0.33000000000000007,8,330.0,,
235.0,-0.2200000000000002,14,352.0,,
240.0,0.8500000000000001,14,267.0,,
245.0,-0.7200000000000002,21,339.0,,
250.0,-0.06000000000000005,18,345.0,,
