step_time,reward,total_stopped,total_wait_time
5e+00,0.0,0,0.0
10.0,0.0,0,0.0
15.0,-0.06,5,6.0
20.0,-0.37,8,43.0
25.0,-0.42,10,85.0
30.0,-0.22000000000000008,8,107.0
35.0,-0.19999999999999996,10,127.0
40.0,-0.08000000000000007,10,135.0
45.0,-0.6799999999999997,16,203.0
50.0,-0.03000000000000025,10,206.0
55.0,0.43999999999999995,10,162.0
60.0,0.3400000000000001,8,128.0
65.0,-0.1299999999999999,10,141.0
70.0,-0.49,10,190.0
75.0,-0.050000000000000044,9,195.0
80.0,-0.09000000000000008,12,204.0
85.0,-0.6499999999999999,14,269.0
90.0,-0.8799999999999999,20,357.0
95.0,0.1499999999999999,14,342.0
100.0,0.8300000000000001,14,259.0
105.0,-0.5,20,309.0
110.0,-1.1100000000000003,24,420.0
115.0,-0.4399999999999995,22,464.0
120.0,0.4399999999999995,13,420.0
125.0,-0.4500000000000002,16,465.0
130.0,-0.9499999999999993,21,560.0
135.0,-0.5200000000000005,22,612.0
140.0,0.1900000000000004,20,593.0
145.0,-0.39000000000000057,16,632.0
150.0,-0.5800000000000001,21,690.0
155.0,0.41000000000000014,20,649.0
160.0,1.13,24,536.0
165.0,-0.6699999999999999,29,603.0
170.0,-0.1299999999999999,24,616.0
175.0,-0.08999999999999986,24,625.0
180.0,-0.17999999999999972,20,643.0
185.0,-0.47000000000000064,19,690.0
190.0,-1.129999999999999,27,803.0
195.0,-1.1000000000000014,30,913.0
200.0,-0.6999999999999993,28,983.0
205.0,-1.0700000000000003,28,1090.0
210.0,-1.5299999999999994,32,1243.0
215.0,0.14000000000000057,36,1229.0
220.0,1.5299999999999994,31,1076.0
225.0,0.5199999999999996,23,1024.0
230.0,-0.27999999999999936,26,1052.0
235.0,0.129999999999999,26,1039.0
240.0,0.870000000000001,21,952.0
245.0,0.4900000000000002,25,903.0
250.0,1.3499999999999996,30,768.0
255.0,-0.8499999999999996,35,853.0
260.0,-0.7000000000000011,36,923.0
265.0,-0.5999999999999996,34,983.0
270.0,-0.07000000000000028,35,990.0
275.0,0.5999999999999996,31,930.0
280.0,0.120000000000001,23,918.0
285.0,-0.4399999999999995,15,962.0
290.0,-0.16000000000000014,20,978.0
295.0,-0.10000000000000142,20,988.0
300.0,0.27000000000000135,19,961.0
305.0,-0.5700000000000003,19,1018.0
310.0,-1.1400000000000006,26,1132.0
315.0,0.16999999999999993,30,1115.0
320.0,-1.4699999999999989,37,1262.0
325.0,0.5499999999999989,35,1207.0
330.0,1.6500000000000004,34,1042.0
335.0,-0.6799999999999997,35,1110.0
340.0,0.129999999999999,34,1097.0
345.0,0.6400000000000006,30,1033.0
350.0,-1.3399999999999999,25,1167.0
355.0,-1.290000000000001,28,1296.0
360.0,-0.6199999999999992,30,1358.0
365.0,-0.47000000000000064,33,1405.0
370.0,-1.6899999999999995,42,1574.0
375.0,-2.51,54,1825.0
380.0,-1.5700000000000003,52,1982.0
385.0,0.26000000000000156,42,1956.0
390.0,0.4800000000000004,34,1908.0
395.0,0.9699999999999989,25,1811.0
400.0,3.16,16,1495.0
405.0,0.1399999999999988,21,1481.0
410.0,0.9000000000000004,26,1391.0
415.0,0.4399999999999995,25,1347.0
420.0,1.5200000000000014,20,1195.0
425.0,-0.14000000000000057,25,1209.0
430.0,1.0700000000000003,26,1102.0
435.0,0.41000000000000014,26,1061.0
440.0,0.21999999999999886,20,1039.0
445.0,1.4400000000000013,20,895.0
450.0,0.06999999999999851,23,888.0
455.0,0.5200000000000014,30,836.0
460.0,-0.9000000000000004,39,926.0
465.0,0.3699999999999992,38,889.0
470.0,-1.0299999999999994,35,992.0
475.0,-1.5999999999999996,32,1152.0
480.0,-0.030000000000001137,31,1155.0
485.0,0.7100000000000009,30,1084.0
490.0,0.009999999999999787,33,1083.0
495.0,-0.23000000000000043,34,1106.0
500.0,0.09999999999999964,34,1096.0
505.0,-0.10999999999999943,27,1107.0
510.0,0.040000000000000924,22,1103.0
515.0,0.8699999999999992,20,1016.0
520.0,2.08,24,808.0
525.0,-0.6600000000000001,29,874.0
530.0,-1.4399999999999995,34,1018.0
535.0,-1.8800000000000008,41,1206.0
540.0,-0.6099999999999994,43,1267.0
545.0,0.6699999999999999,41,1200.0
550.0,0.8000000000000007,38,1120.0
555.0,-0.8300000000000001,39,1203.0
560.0,-2.0,42,1403.0
565.0,-1.8500000000000014,38,1588.0
570.0,-1.8199999999999985,40,1770.0
575.0,-2.0,40,1970.0
580.0,-2.0700000000000003,42,2177.0
585.0,-1.6999999999999993,38,2347.0
590.0,-1.8100000000000023,41,2528.0
595.0,-2.1499999999999986,44,2743.0
600.0,-1.9400000000000013,40,2937.0
605.0,-1.8999999999999986,42,3127.0
610.0,0.3099999999999987,36,3096.0
615.0,3.990000000000002,28,2697.0
620.0,0.5999999999999979,19,2637.0
625.0,-0.8299999999999983,14,2720.0
630.0,-0.39000000000000057,18,2759.0
635.0,-0.7300000000000004,25,2832.0
640.0,1.0800000000000018,26,2724.0
645.0,3.3999999999999986,23,2384.0
650.0,5.120000000000001,18,1872.0
655.0,-0.7699999999999996,14,1949.0
660.0,-0.7000000000000028,15,2019.0
665.0,-0.639999999999997,21,2083.0
670.0,-1.1300000000000026,28,2196.0
675.0,0.870000000000001,30,2109.0
680.0,4.260000000000002,30,1683.0
685.0,1.0699999999999985,19,1576.0
690.0,1.129999999999999,16,1463.0
695.0,-0.3199999999999985,13,1495.0
700.0,-0.8399999999999999,24,1579.0
705.0,-1.4100000000000001,32,1720.0
710.0,-1.7600000000000016,39,1896.0
715.0,-2.129999999999999,44,2109.0
720.0,0.8200000000000003,38,2027.0
725.0,3.9499999999999993,30,1632.0
730.0,-0.8099999999999987,19,1713.0
735.0,-0.8300000000000018,23,1796.0
740.0,1.9200000000000017,19,1604.0
745.0,3.26,16,1278.0
750.0,-0.5200000000000014,16,1330.0
755.0,-0.9499999999999993,21,1425.0
760.0,0.0600000000000005,22,1419.0
765.0,0.46999999999999886,28,1372.0
770.0,0.3200000000000003,31,1340.0
775.0,2.0600000000000005,32,1134.0
780.0,-0.6600000000000001,20,1200.0
785.0,-0.3100000000000005,18,1231.0
790.0,0.5600000000000005,15,1175.0
795.0,1.9399999999999995,14,981.0
800.0,0.8300000000000001,11,898.0
805.0,0.16999999999999993,16,881.0
810.0,-0.4599999999999991,17,927.0
815.0,-0.7400000000000002,25,1001.0
820.0,0.20999999999999908,27,980.0
825.0,2.160000000000001,25,764.0
830.0,-0.2600000000000007,19,790.0
835.0,-0.8899999999999988,16,879.0
840.0,-0.7800000000000011,18,957.0
845.0,0.3800000000000008,21,919.0
850.0,1.0999999999999996,19,809.0
855.0,-0.9100000000000001,22,900.0
860.0,-1.2300000000000004,25,1023.0
865.0,-0.2599999999999998,21,1049.0
870.0,0.02999999999999936,25,1046.0
875.0,-1.5599999999999987,36,1202.0
880.0,-2.110000000000001,46,1413.0
885.0,-0.879999999999999,42,1501.0
890.0,0.8399999999999999,35,1417.0
895.0,-0.7799999999999994,23,1495.0
900.0,-0.1800000000000015,18,1513.0
905.0,0.7300000000000004,15,1440.0
910.0,1.75,13,1265.0
915.0,-0.41999999999999993,14,1307.0
920.0,-0.7099999999999991,17,1378.0
925.0,0.33000000000000007,19,1345.0
930.0,1.5299999999999994,17,1192.0
935.0,2.4499999999999993,14,947.0
940.0,-0.4399999999999995,11,991.0
945.0,-0.6799999999999997,15,1059.0
950.0,-0.16000000000000014,17,1075.0
955.0,-0.5199999999999996,27,1127.0
960.0,-0.33000000000000007,30,1160.0
965.0,1.209999999999999,29,1039.0
970.0,2.5500000000000007,19,784.0
975.0,1.2999999999999998,17,654.0
980.0,-0.6399999999999997,18,718.0
985.0,-1.1500000000000004,26,833.0
990.0,-0.1999999999999993,28,853.0
995.0,0.9399999999999995,27,759.0
