step_time,reward,total_stopped,total_wait_time,episode,terminal_observation
245.0,-1.6799999999999997,37,3264.0,,
250.0,-1.9299999999999997,39,3457.0,,
255.0,-2.030000000000001,43,3660.0,,
260.0,-2.240000000000002,47,3884.0,,
265.0,-2.4199999999999946,49,4126.0,,
270.0,-2.469999999999999,51,4373.0,,
275.0,-2.710000000000001,55,4644.0,,
280.0,-2.780000000000001,57,4922.0,,
285.0,-3.030000000000001,61,5225.0,,
290.0,-2.270000000000003,58,5452.0,,
295.0,-1.2899999999999991,49,5581.0,,
300.0,-2.3499999999999943,48,5816.0,,
305.0,-2.5800000000000054,54,6074.0,,
310.0,1.6000000000000014,56,5914.0,,
315.0,1.7999999999999972,59,5734.0,,
320.0,-2.9499999999999957,65,6029.0,,
325.0,-3.270000000000003,67,6356.0,,
330.0,-3.4099999999999966,69,6697.0,,
335.0,-3.450000000000003,69,7042.0,,
340.0,-2.1299999999999955,68,7255.0,,
345.0,-0.20000000000000284,61,7275.0,,
350.0,-2.9099999999999966,55,7566.0,,
355.0,-2.680000000000007,53,7834.0,,
360.0,-2.6299999999999955,54,8097.0,,
365.0,-2.9099999999999966,61,8388.0,,
370.0,2.780000000000001,61,8110.0,,
375.0,8.08999999999999,61,7301.0,,
380.0,1.25,56,7176.0,,
385.0,0.5200000000000102,44,7124.0,,
390.0,-0.20000000000000284,37,7144.0,,
395.0,-1.9000000000000057,39,7334.0,,
400.0,3.510000000000005,41,6983.0,,
405.0,10.559999999999995,45,5927.0,,
410.0,1.8800000000000026,43,5739.0,,
415.0,0.9399999999999977,39,5645.0,,
420.0,2.3599999999999994,38,5409.0,,
425.0,3.220000000000006,31,5087.0,,
430.0,7.6299999999999955,29,4324.0,,
435.0,4.109999999999999,30,3913.0,,
440.0,1.230000000000004,23,3790.0,,
445.0,1.8999999999999986,26,3600.0,,
450.0,3.030000000000001,30,3297.0,,
455.0,6.140000000000001,33,2683.0,,
460.0,-0.870000000000001,35,2770.0,,
465.0,-0.2699999999999996,32,2797.0,,
470.0,-0.6400000000000006,33,2861.0,,
475.0,-1.4800000000000004,37,3009.0,,
480.0,1.9600000000000009,40,2813.0,,
485.0,4.800000000000001,44,2333.0,,
490.0,-1.9800000000000004,43,2531.0,,
495.0,-1.610000000000003,39,2692.0,,
500.0,-1.4399999999999977,36,2836.0,,
505.0,-1.8200000000000003,43,3018.0,,
510.0,1.379999999999999,43,2880.0,,
515.0,1.2300000000000004,47,2757.0,,
520.0,-1.1699999999999982,46,2874.0,,
525.0,-1.7900000000000027,40,3053.0,,
530.0,-0.6600000000000001,36,3119.0,,
535.0,-0.04999999999999716,37,3124.0,,
540.0,-1.1500000000000021,40,3239.0,,
545.0,-1.3299999999999983,37,3372.0,,
550.0,-0.8400000000000034,40,3456.0,,
555.0,-0.4899999999999949,44,3505.0,,
560.0,-1.0,39,3605.0,,
565.0,-1.480000000000004,41,3753.0,,
570.0,-1.1400000000000006,41,3867.0,,
575.0,-0.6099999999999994,40,3928.0,,
580.0,-1.3699999999999974,39,4065.0,,
585.0,-1.480000000000004,46,4213.0,,
590.0,-1.6499999999999986,47,4378.0,,
595.0,-1.1899999999999977,47,4497.0,,
600.0,-1.6499999999999986,46,4662.0,,
605.0,-1.5399999999999991,47,4816.0,,
610.0,-1.8500000000000014,47,5001.0,,
615.0,-1.6799999999999997,46,5169.0,,
620.0,1.1199999999999974,48,5057.0,,
625.0,-0.1599999999999966,61,5073.0,,
630.0,-2.950000000000003,67,5368.0,,
635.0,-2.780000000000001,67,5646.0,,
640.0,-2.6700000000000017,70,5913.0,,
645.0,-1.5499999999999972,65,6068.0,,
650.0,-2.25,54,6293.0,,
655.0,-1.8300000000000054,50,6476.0,,
660.0,-1.6199999999999903,47,6638.0,,
665.0,-1.0300000000000011,50,6741.0,,
670.0,-1.980000000000004,46,6939.0,,
675.0,-1.8100000000000023,50,7120.0,,
680.0,4.329999999999998,50,6687.0,,
685.0,9.610000000000007,49,5726.0,,
690.0,3.4099999999999966,43,5385.0,,
695.0,-2.219999999999999,48,5607.0,,
700.0,-1.1799999999999997,48,5725.0,,
705.0,-0.10000000000000142,46,5735.0,,
710.0,3.5900000000000034,41,5376.0,,
715.0,8.29,36,4547.0,,
720.0,2.0,25,4347.0,,
725.0,1.740000000000002,20,4173.0,,
730.0,4.209999999999994,18,3752.0,,
735.0,9.080000000000002,20,2844.0,,
740.0,0.9700000000000024,21,2747.0,,
745.0,-0.8300000000000018,29,2830.0,,
750.0,-0.41000000000000014,37,2871.0,,
755.0,1.2899999999999991,40,2742.0,,
760.0,2.1000000000000014,39,2532.0,,
765.0,4.34,30,2098.0,,
770.0,-0.870000000000001,23,2185.0,,
775.0,-1.1899999999999977,33,2304.0,,
780.0,0.7699999999999996,39,2227.0,,
785.0,2.169999999999998,44,2010.0,,
790.0,0.490000000000002,40,1961.0,,
795.0,0.75,37,1886.0,,
800.0,0.0,31,1886.0,,
805.0,0.21999999999999886,24,1864.0,,
810.0,0.1999999999999993,27,1844.0,,
815.0,2.0100000000000016,29,1643.0,,
820.0,-0.8200000000000003,29,1725.0,,
825.0,-0.14000000000000057,25,1739.0,,
830.0,2.1900000000000013,25,1520.0,,
835.0,0.7099999999999991,35,1449.0,,
840.0,-0.7200000000000006,36,1521.0,,
845.0,-0.4499999999999993,42,1566.0,,
850.0,-1.0599999999999987,43,1672.0,,
855.0,-1.2600000000000016,44,1798.0,,
860.0,-0.0799999999999983,41,1806.0,,
865.0,1.5899999999999999,31,1647.0,,
870.0,-1.0300000000000011,26,1750.0,,
875.0,-0.9600000000000009,21,1846.0,,
880.0,-1.1999999999999993,27,1966.0,,
885.0,-1.620000000000001,36,2128.0,,
890.0,-0.8599999999999994,39,2214.0,,
895.0,-0.370000000000001,39,2251.0,,
900.0,-1.1699999999999982,40,2368.0,,
905.0,-1.9400000000000013,44,2562.0,,
910.0,0.240000000000002,38,2538.0,,
915.0,2.6799999999999997,32,2270.0,,
920.0,-0.2699999999999996,24,2297.0,,
925.0,-1.1500000000000021,25,2412.0,,
930.0,1.1999999999999993,18,2292.0,,
935.0,3.3000000000000007,17,1962.0,,
940.0,4.920000000000002,15,1470.0,,
945.0,3.59,13,1111.0,,
950.0,0.6899999999999995,10,1042.0,,
955.0,1.3900000000000006,12,903.0,,
960.0,-0.2599999999999998,18,929.0,,
965.0,-1.33,31,1062.0,,
970.0,-0.9000000000000004,33,1152.0,,
975.0,-0.6600000000000001,39,1218.0,,
980.0,-0.09999999999999964,39,1228.0,,
985.0,1.9699999999999989,32,1031.0,,
990.0,2.3000000000000007,28,801.0,,
995.0,-0.16999999999999993,14,818.0,,
1000.0,0.3099999999999996,16,787.0,,
1005.0,0.20000000000000018,17,767.0,,
1010.0,0.47999999999999954,15,719.0,,
1015.0,0.9900000000000002,13,620.0,,
1020.0,0.6400000000000006,13,556.0,,
1025.0,0.3199999999999994,19,524.0,,
1030.0,0.6800000000000006,15,456.0,,
1035.0,1.2299999999999995,11,333.0,,
1040.0,-0.1499999999999999,19,348.0,,
1045.0,-1.2500000000000004,30,473.0,,
1050.0,-0.8699999999999992,32,560.0,,
1055.0,-0.8100000000000005,37,641.0,,
1060.0,-2.039999999999999,49,845.0,,
1065.0,-2.530000000000001,51,1098.0,,
1070.0,-2.59,53,1357.0,,
1075.0,-2.6499999999999986,53,1622.0,,
1080.0,-1.1400000000000006,47,1736.0,,
1085.0,-0.41000000000000014,46,1777.0,,
1090.0,-0.40000000000000213,41,1817.0,,
1095.0,0.28000000000000114,39,1789.0,,
1100.0,1.4699999999999989,32,1642.0,,
1105.0,1.200000000000001,25,1522.0,,
1110.0,0.9900000000000002,20,1423.0,,
1115.0,-0.049999999999998934,20,1428.0,,
1120.0,-1.2400000000000002,27,1552.0,,
1125.0,0.0,27,1552.0,,
1130.0,1.1199999999999992,25,1440.0,,
1135.0,0.28000000000000114,32,1412.0,,
1140.0,1.0099999999999998,33,1311.0,,
1145.0,2.039999999999999,35,1107.0,,
1150.0,1.0199999999999996,27,1005.0,,
1155.0,-0.6099999999999994,23,1066.0,,
1160.0,0.3100000000000005,19,1035.0,,
1165.0,0.9299999999999997,20,942.0,,
1170.0,-0.9499999999999993,30,1037.0,,
1175.0,-1.83,42,1220.0,,
1180.0,-1.6100000000000012,44,1381.0,,
1185.0,-1.3499999999999996,47,1516.0,,
1190.0,-0.009999999999999787,49,1517.0,,
1195.0,1.5299999999999994,43,1364.0,,
