step_time,reward,total_stopped,total_wait_time
5e+00,0.0,0,0.0
10.0,0.0,0,0.0
15.0,-0.07,4,7.0
20.0,-0.45,10,52.0
25.0,-0.26,7,78.0
30.0,-0.22999999999999998,8,101.0
35.0,0.010000000000000009,6,100.0
40.0,-0.29000000000000004,10,129.0
45.0,0.13000000000000012,8,116.0
50.0,0.04999999999999982,11,111.0
55.0,-0.1299999999999999,9,124.0
60.0,0.65,3,59.0
65.0,0.05999999999999994,5,53.0
70.0,-0.030000000000000027,4,56.0
75.0,-0.3999999999999999,10,96.0
80.0,-0.6200000000000001,14,158.0
85.0,-0.7399999999999998,17,232.0
90.0,-0.96,20,328.0
95.0,-1.0299999999999998,23,431.0
100.0,-1.29,26,560.0
105.0,-1.3800000000000008,30,698.0
110.0,-1.549999999999999,32,853.0
115.0,-0.7400000000000002,30,927.0
120.0,0.3699999999999992,21,890.0
125.0,1.2200000000000006,18,768.0
130.0,2.0599999999999996,12,562.0
135.0,0.5300000000000002,13,509.0
140.0,0.6399999999999997,15,445.0
145.0,-0.8399999999999999,17,529.0
150.0,-0.9400000000000004,22,623.0
155.0,-0.13999999999999968,23,637.0
160.0,-0.14999999999999947,29,652.0
165.0,-1.6300000000000008,38,815.0
170.0,-2.1899999999999995,46,1034.0
175.0,-1.33,44,1167.0
180.0,-0.7799999999999994,44,1245.0
185.0,-0.9700000000000006,44,1342.0
190.0,0.41999999999999993,34,1300.0
195.0,-0.6300000000000008,28,1363.0
200.0,0.46000000000000085,22,1317.0
205.0,-0.35999999999999943,22,1353.0
210.0,-1.370000000000001,31,1490.0
215.0,-1.7499999999999982,37,1665.0
220.0,-1.990000000000002,44,1864.0
225.0,-2.1899999999999977,44,2083.0
230.0,-0.9600000000000009,43,2179.0
235.0,-0.6700000000000017,42,2246.0
240.0,-0.05999999999999872,38,2252.0
245.0,3.5799999999999983,31,1894.0
250.0,-0.8599999999999994,21,1980.0
255.0,-0.7199999999999989,15,2052.0
260.0,-0.2699999999999996,14,2079.0
265.0,-0.7100000000000009,22,2150.0
270.0,-1.3399999999999999,31,2284.0
275.0,-1.75,39,2459.0
280.0,-2.09,43,2668.0
285.0,-1.0700000000000003,41,2775.0
290.0,-2.0700000000000003,42,2982.0
295.0,0.46999999999999886,37,2935.0
300.0,3.2300000000000004,29,2612.0
305.0,-1.129999999999999,27,2725.0
310.0,-1.2800000000000011,23,2853.0
315.0,-1.1099999999999994,23,2964.0
320.0,1.3300000000000018,25,2831.0
325.0,3.8699999999999974,21,2444.0
330.0,1.860000000000003,21,2258.0
335.0,-1.0900000000000034,21,2367.0
340.0,-1.2099999999999973,29,2488.0
345.0,0.05999999999999872,27,2482.0
350.0,0.6799999999999997,32,2414.0
355.0,1.5399999999999991,35,2260.0
360.0,3.770000000000003,31,1883.0
365.0,5.6999999999999975,25,1313.0
370.0,-0.5099999999999998,16,1364.0
375.0,-0.5999999999999996,20,1424.0
380.0,-1.08,24,1532.0
385.0,-0.1899999999999995,26,1551.0
390.0,0.5399999999999991,26,1497.0
395.0,-0.8899999999999988,34,1586.0
400.0,0.7799999999999994,36,1508.0
405.0,2.74,28,1234.0
410.0,3.84,19,850.0
415.0,1.0199999999999996,16,748.0
420.0,0.8000000000000007,6,668.0
425.0,-0.28000000000000025,12,696.0
430.0,0.3799999999999999,16,658.0
435.0,-1.0499999999999998,23,763.0
440.0,-0.21999999999999975,24,785.0
445.0,0.9699999999999998,21,688.0
450.0,-0.020000000000000462,26,690.0
455.0,-1.0599999999999996,22,796.0
460.0,-0.15999999999999925,16,812.0
465.0,0.7799999999999994,14,734.0
470.0,-0.6999999999999993,16,804.0
475.0,-0.7800000000000011,18,882.0
480.0,-0.0600000000000005,20,888.0
485.0,0.6800000000000015,22,820.0
490.0,0.9699999999999989,16,723.0
495.0,1.7300000000000004,14,550.0
500.0,0.2400000000000002,14,526.0
505.0,0.1899999999999995,18,507.0
510.0,0.29000000000000004,17,478.0
515.0,0.040000000000000036,14,474.0
520.0,0.16999999999999993,14,457.0
525.0,0.03000000000000025,18,454.0
530.0,-0.8399999999999999,24,538.0
535.0,-0.6500000000000004,20,603.0
540.0,0.9000000000000004,21,513.0
545.0,-0.6799999999999997,22,581.0
550.0,0.05999999999999961,24,575.0
555.0,0.7599999999999998,26,499.0
560.0,-0.5800000000000001,30,557.0
565.0,-0.16000000000000014,31,573.0
570.0,-0.7699999999999996,27,650.0
575.0,-0.08999999999999986,20,659.0
580.0,0.17999999999999972,13,641.0
585.0,0.6500000000000004,14,576.0
590.0,-0.16000000000000014,19,592.0
595.0,-0.3200000000000003,24,624.0
600.0,0.4500000000000002,19,579.0
605.0,0.8600000000000003,18,493.0
610.0,-0.27000000000000046,24,520.0
615.0,-0.8999999999999995,30,610.0
620.0,-1.67,35,777.0
625.0,-2.040000000000001,43,981.0
630.0,-2.369999999999999,50,1218.0
635.0,-1.3599999999999994,44,1354.0
640.0,-0.07000000000000028,36,1361.0
645.0,-0.14000000000000057,26,1375.0
650.0,1.2100000000000009,16,1254.0
655.0,1.379999999999999,16,1116.0
660.0,-1.0199999999999996,24,1218.0
665.0,-1.6500000000000004,40,1383.0
670.0,-1.5500000000000007,38,1538.0
675.0,-1.6899999999999995,40,1707.0
680.0,-2.030000000000001,41,1910.0
685.0,-2.049999999999997,41,2115.0
690.0,-0.19000000000000128,37,2134.0
695.0,1.9199999999999982,27,1942.0
700.0,0.6800000000000033,20,1874.0
705.0,-0.8399999999999999,18,1958.0
710.0,-0.9400000000000013,20,2052.0
715.0,-1.2199999999999989,28,2174.0
720.0,-0.33000000000000185,32,2207.0
725.0,-1.8299999999999983,40,2390.0
730.0,-2.200000000000003,44,2610.0
735.0,-0.03999999999999915,43,2614.0
740.0,2.129999999999999,35,2401.0
745.0,4.310000000000002,28,1970.0
750.0,4.559999999999999,19,1514.0
755.0,0.3800000000000008,11,1476.0
760.0,0.9900000000000002,15,1377.0
765.0,-0.6600000000000001,21,1443.0
770.0,-1.290000000000001,30,1572.0
775.0,-0.7099999999999991,34,1643.0
780.0,-0.33999999999999986,37,1677.0
785.0,-1.4200000000000017,43,1819.0
790.0,-1.4199999999999982,38,1961.0
795.0,-1.4000000000000021,40,2101.0
800.0,0.8399999999999999,34,2017.0
805.0,4.910000000000002,26,1526.0
810.0,2.9399999999999995,23,1232.0
815.0,3.2300000000000004,14,909.0
820.0,1.9900000000000002,12,710.0
825.0,0.13999999999999968,9,696.0
830.0,-0.33999999999999986,16,730.0
835.0,-0.16999999999999993,17,747.0
840.0,-0.040000000000000036,21,751.0
845.0,-1.2200000000000006,31,873.0
850.0,-0.8599999999999994,35,959.0
855.0,-1.9700000000000006,41,1156.0
860.0,-0.7099999999999991,38,1227.0
865.0,1.0399999999999991,28,1123.0
870.0,-0.05999999999999872,20,1129.0
875.0,-0.3800000000000008,17,1167.0
880.0,0.6600000000000001,14,1101.0
885.0,2.6400000000000006,15,837.0
890.0,1.3099999999999996,15,706.0
895.0,-0.3800000000000008,12,744.0
900.0,-0.8099999999999996,18,825.0
905.0,-0.75,26,900.0
910.0,-1.4399999999999995,31,1044.0
915.0,-0.6699999999999999,35,1111.0
920.0,0.16000000000000014,33,1095.0
925.0,0.2599999999999998,27,1069.0
930.0,1.1399999999999988,16,955.0
935.0,0.6900000000000013,13,886.0
940.0,1.7199999999999998,15,714.0
945.0,0.6699999999999999,9,647.0
950.0,0.5299999999999994,13,594.0
955.0,0.2400000000000002,17,570.0
960.0,0.8200000000000003,15,488.0
965.0,-0.41000000000000014,13,529.0
970.0,-0.5300000000000002,17,582.0
975.0,-0.3700000000000001,18,619.0
980.0,0.47000000000000064,16,572.0
985.0,0.6699999999999999,13,505.0
990.0,0.9500000000000002,17,410.0
995.0,-0.1900000000000004,16,429.0
1000.0,0.43000000000000016,17,386.0
